title,text,rating,date,username,verified,source
,"Super easy to use, makes me feel safe,can use it anytime to send money to my kids or elsewhere when I don't feel like using other card! No secret charges, highly recommend!",,2026-03-20T20:08:19.000Z,ΚA,False,Trustpilot
,"I find it very convenient to send/receive payments between friends and relatives. I also like the savings funds in different currencies, the rates are attractive and it's so easy to transfer money. It... See more",,2026-03-20T18:21:38.000Z,JA,False,Trustpilot
,I have been. Rev customer for about 10 years and I think it’s a fabulous financial accessory. I love the fact that I can carry money in multiple currencies which helps greatly when I’m travelling to a... See more,,2026-03-18T21:24:51.000Z,GM,False,Trustpilot
,"I find the app so easy to use, text of what has been spend and the amount left in the account helps with budgeting finances therefore stops over spending.",,2026-03-20T18:22:47.000Z,AG,False,Trustpilot
,The App is easy to use I'm hoping nothing changes when the transfer to a bank is fully intact. This has better features than regular banks.,,2026-03-20T19:56:05.000Z,TE,False,Trustpilot
,"My Revolut card meant that topping up the local currency as required could not be a simpler process.
It is a remarkably efficient way of managing funds and a budget when travelling.",,2026-03-19T11:00:22.000Z,JC,False,Trustpilot
,Very quick and efficient service with competitive exchange rates offered when transferring £s to €s.  Payments are made quickly and funds arrive promptly,,2026-03-19T11:45:19.000Z,IE,False,Trustpilot
,"This is the worst bank i have ever had, they’re literally chasing and harassing me and many other people i have talked to for every transaction as little as 50usd and even equivalent small transfers t... See more",,2026-03-20T10:16:40.000Z,MQ,False,Trustpilot
,"I am satisfied with Revolut. However:
Over the past two and a half weeks, I was in Germany arranging a funeral. Unfortunately, card payments were not accepted, so I had to withdraw cash. I was disa... See more",,2026-03-20T19:15:27.000Z,ZV,False,Trustpilot
,"Perfect app, very clear, with instant payments. Never had an issue or any kind of error. There’s nothing I can find that isn’t good.",,2026-03-20T08:28:20.000Z,CH,False,Trustpilot
,"Easy to use, no additional charges and able to use so many currencies 
Will need to migrate more cash into the account to cover",,2026-03-21T04:08:03.000Z,JK,False,Trustpilot
,"I’ve been using Revolut and it’s been great so far. The app is easy to use, fast and perfect for managing money, especially for regular use. Everything from payments to budgeting feels simple and conv... See more",,2026-03-20T03:09:34.000Z,IA,False,Trustpilot
,The main issue is transaction dispute due to continued issues with merchant delivery. I submitted a transaction dispute and was emailed saying it would take 3 days to receive an outcome. Day 2 Rev... See more,,2026-03-19T16:02:16.000Z,TA,False,Trustpilot
,"Think very carefully before opening an account with this lot. I started to save money with Revolut, for a holiday to south east Asia. To use the card abroad. With the conflict in the Middle East, my h... See more",,2026-03-19T11:34:15.000Z,SC,False,Trustpilot
,Very quick and easy and no delays in making the transfers - I used to use Wise but started to experience hours in making the transfer rather than the seconds they predicted,,2026-03-20T04:49:32.000Z,SB,False,Trustpilot
,"It’s so easy to use. Friendly environment. I send money to Mexico every month from the Netherlands and I trust you 100% on the fees, speed and currency! Sooooo happy to be part of Revolut.",,2026-03-20T22:37:32.000Z,AM,False,Trustpilot
,"Revolut is by far one of the worst banks I have ever dealt with.

I simply tried to transfer money from my Portuguese bank account to buy cryptocurrency and send it to my Binance account. We’r... See more",,2026-03-19T18:26:59.000Z,Fedor Kiselev,False,Trustpilot
,"Love this card spend  at home.e and on holidays, love that you can put money on it for holidays. I have recommended this card to loads of my friends they love ,love the app it's excellent.",,2026-03-20T05:55:11.000Z,MJ,False,Trustpilot
,"Revolut stands out for maintaining a reliable and well-managed transaction system, giving users confidence when handling payments and transfers. The platform is also consistently updated, and what mak... See more",,2026-03-20T20:34:48.000Z,OK,False,Trustpilot
,I love Revolut online accounts on thing I will like to review my online trading to be transfer on it and every time I have to activate something like put money,,2026-03-20T19:37:05.000Z,PP,False,Trustpilot
,"Revolut is very convenient , and gives a prompt service . This company is doing very well and is impeccabile .
Thank you !",,2026-03-20T10:03:21.000Z,IC,False,Trustpilot
,"Love Revolut.  I earn sterling but live in Ireland, so it’s a fantastic bank for currency exchange.  So easy to use.",,2026-03-20T19:54:27.000Z,RO,False,Trustpilot
,Easy to use no charge while i was away  abroard in Turkey at atm machine good confersion rate,,2026-03-20T20:07:07.000Z,RO,False,Trustpilot
,"Great banking app, includes other services and rewards as well that help a lot, especially for people living in a foreign country!!",,2026-03-20T19:49:08.000Z,CM,False,Trustpilot
,I am satisfied with the service of Revolut. I hope the fees are goning to be kept low in the future at least as much as it is now.,,2026-03-20T08:31:56.000Z,BA,False,Trustpilot
,"Very fast and professional team, smooth app and I have received an amazing offer for my house mortgage!",,2026-03-20T15:39:29.000Z,IJ,False,Trustpilot
,"I have been trying to delete a partially created Revolut account; they only have my e-mail, phone number, and name. Despite this, they have been sending me repeated emails for months, requesting more... See more",,2026-03-20T14:56:08.000Z,GL,False,Trustpilot
,"I got a worse account conditions since my account was transferred to Hungary.  I have to pay 0,5 percent transfer fees...",,2026-03-20T13:30:44.000Z,GK,False,Trustpilot
,"Best bank i can't wait to open a business account with Revolut 
Try it you will not be disappointed",,2026-03-20T19:41:09.000Z,AN,False,Trustpilot
,I've been using Revolut for about 2 1/2 years now. No complaints. Once they saved me from a semi-scam subscription service by automatically blocking the payment and then asking me whether to allow i... See more,,2026-03-20T05:18:45.000Z,JK,False,Trustpilot
,"Best Payments/ Financial/ Banking App I have ever used, Fast transit, great benefits for free version, Highly recommended for everyone, I hope this app get to the north African market. will make your... See more",,2026-03-19T19:36:44.000Z,MB,False,Trustpilot
,The card arrived  diligently. Account fees are reasonnable. Easy to use and to learn how to invest.,,2026-03-20T20:38:05.000Z,CA,False,Trustpilot
,Very user friendly all payments/purchases a click away.I will be availing of more of your services in the near future.,,2026-03-20T23:01:42.000Z,DA,False,Trustpilot
,"Easy to use, fast and reliable. Looking forward to upgrading my plan and getting even more benefits.",,2026-03-20T08:59:20.000Z,IV,False,Trustpilot
,Fourth day that i can't login into my account and i can't use my money. Revolut support continues to ask me sending them a video recording when trying to login. I tell them that i don't have a second... See more,,2026-03-20T18:21:25.000Z,MS,False,Trustpilot
,Feel confident when using card abroad and great that you give an immediate update of account status even checking that the user is the card owner after several purchases when tapping card.,,2026-03-20T19:40:32.000Z,MC,False,Trustpilot
,I have know worries using my card. And it's easy to explain to people how to keep a check on your balance and to add extra money,,2026-03-20T20:05:29.000Z,CW,False,Trustpilot
,It’s just a user friendly bank and the other pillar banks are now beginning to copy them.,,2026-03-20T20:31:29.000Z,AH,False,Trustpilot
,Simple and understandable communication in all areas. I feel safe and so does my money.,,2026-03-20T21:08:38.000Z,AJ,False,Trustpilot
,"Really happy with the service I am receiving.
Revolut seems to be the best Online account.",,2026-03-20T20:51:04.000Z,GS,False,Trustpilot
,I love the no and low fees for getting foreign currency and sending money abroad. Having this card is a game changer.,,2026-03-19T19:42:52.000Z,Jill Aisher,False,Trustpilot
,"I've never had a problem with anything including spending, saving and/or loans. My main worry is that I can't go into a branch if something does go wrong. Otherwise I would consider moving my business... See more",,2026-03-19T23:34:58.000Z,TM,False,Trustpilot
,Been using for over 3 years and its amazing especially sending money for my family overseas.,,2026-03-20T19:39:14.000Z,MV,False,Trustpilot
Fast and secure transactions,Fast and secure transactions,,2026-03-26T21:23:01.000Z,PA,False,Trustpilot
Great UI,"Great UI, quite intuitive, great service.",,2026-03-26T21:22:16.000Z,PI,False,Trustpilot
I’m empress,Very good app,,2026-03-26T21:18:40.000Z,RB,False,Trustpilot
Super….👍 indispensable,Super….👍 indispensable,,2026-03-26T21:07:17.000Z,CL,False,Trustpilot
I feel safe using revolut card and l…,I feel safe using revolut card and l never regret making this card..The only thing l don't like is that when l want to transfer money on line from revolut to a bank in Cyprus always the charge to transfer,,2026-03-26T21:03:24.000Z,AS,False,Trustpilot
Its really easy to use,"Its really easy to use, changing currencies and being able to set limits",,2026-03-26T21:01:27.000Z,EL,False,Trustpilot
When I travel to Canada I have no…,When I travel to Canada I have no trouble buying anything,,2026-03-26T20:49:22.000Z,LO,False,Trustpilot
Thankyou for a brilliant service.,Thankyou for a brilliant service.,,2026-03-26T20:47:17.000Z,CS,False,Trustpilot
Parfait,Excellente application et services,,2026-03-26T20:43:59.000Z,TB,False,Trustpilot
I don't like rounding up prices and…,I don't like rounding up prices and collecting unnecessary points,,2026-03-26T20:42:06.000Z,GA,False,Trustpilot
"Revolut, exceptional banking",With Revolut i feel super confident with my transactions   It's amazing when you have a system you can actually trust for managing your money. Knowing everything is handled smoothly really brings peace of mind. I've been really impressed with how well-organized it all feels. Definitely makes everyday financial tasks so much easier.,,2026-03-26T20:40:29.000Z,MF,False,Trustpilot
I am completely satisfied,I am completely satisfied,,2026-03-26T20:40:12.000Z,AB,False,Trustpilot
Revolut offers services like no other…,"Revolut offers services like no other banks in my country, and for free.",,2026-03-26T20:37:06.000Z,LA,False,Trustpilot
The EU banking toolbox,Very efficient tool for personal banking in the EU market.,,2026-03-26T20:34:28.000Z,KK,False,Trustpilot
Great service and excellent customer…,Great service and excellent customer service,,2026-03-26T20:29:47.000Z,YF,False,Trustpilot
Great for traveling and paying in other…,Great for traveling and paying in other currencies,,2026-03-26T20:28:00.000Z,SR,False,Trustpilot
,"Since I started using this card, I haven't had any problems. The start was a bit bumpy because the first card never arrived. But the second card came as promised. Transfers are straightforward, and i... See more",,2026-03-20T12:01:04.000Z,TH,False,Trustpilot
,I have experienced hackers.on free wifi even changing software giving.me.wierd bills to pay and revolut have uncomplicated my digital life and got.good.invest options not to get rich but to have revol... See more,,2026-03-20T17:44:05.000Z,BH,False,Trustpilot
,"I find revolut so easy to use and everything transaction is immediately available to see on the app
 I find it so handy when travelling as it saves me having to get different currencies each time I t... See more",,2026-03-20T20:14:10.000Z,ML,False,Trustpilot
,Fast money transfer processing enabling GBP to be moved to Euro accounts and then transferred to private Euro account in a couple of minutes.  When money is needed abroad quickly this has been extreme... See more,,2026-03-20T09:02:17.000Z,PE,False,Trustpilot
,"Easy sign up, almost instant availability, easy to add funds and prompt delivery of physical card. I’m using mine routinely and so far have no grounds to grumble.",,2026-03-20T19:43:02.000Z,GS,False,Trustpilot
,"Loving my new revolut card and app, I can see exactly what I spend, its easy to transfer money on to my app/ card/ phone
Revolut keeps me up to date with everything. 
Highly recommend especially if... See more",,2026-03-20T09:30:33.000Z,SA,False,Trustpilot
,I was astounded by how excellent this banking app is. Revolut boasts a modern design and is incredibly user-friendly. Everything operates swiftly and seamlessly. I highly recommend it to anyone seekin... See more,,2026-03-20T19:49:48.000Z,KH,False,Trustpilot
,I only use my Revolut Card while on holiday. I top it up before we go then watch the transactions every day so I always know just how much I have spent! Whether in the USA or Europe it’s been a godsen... See more,,2026-03-20T16:32:55.000Z,LM,False,Trustpilot
,"Sometimes there are errors paying or withdrawing money or adding money from PayPal to the Debit Card. Stimmt Service fees are low and not paying a penny per month. 

Very good experience and pricing... See more",,2026-03-20T02:02:48.000Z,EH,False,Trustpilot
,Revolut has made everyday banking feel simple and stress‑free for me. Very quick signup and onboarding.  Everyday use is smooth with instant notifications after every transaction.  Excellent for trave... See more,,2026-03-20T20:24:38.000Z,KA,False,Trustpilot
,"Foreign exchange facility is so great. Rates are always better than other banks and using it is seamless. This is on top of all the other benefits of Revolut, bill sharing, instant transfers etc",,2026-03-20T23:56:23.000Z,EJ,False,Trustpilot
,"Super easy to use, makes me feel safe,can use it anytime to send money to my kids or elsewhere when I don't feel like using other card! No secret charges, highly recommend!",,2026-03-20T20:08:19.000Z,ΚA,False,Trustpilot
,"I find it very convenient to send/receive payments between friends and relatives. I also like the savings funds in different currencies, the rates are attractive and it's so easy to transfer money. It... See more",,2026-03-20T18:21:38.000Z,JA,False,Trustpilot
,I have been. Rev customer for about 10 years and I think it’s a fabulous financial accessory. I love the fact that I can carry money in multiple currencies which helps greatly when I’m travelling to a... See more,,2026-03-18T21:24:51.000Z,GM,False,Trustpilot
,"I find the app so easy to use, text of what has been spend and the amount left in the account helps with budgeting finances therefore stops over spending.",,2026-03-20T18:22:47.000Z,AG,False,Trustpilot
,The App is easy to use I'm hoping nothing changes when the transfer to a bank is fully intact. This has better features than regular banks.,,2026-03-20T19:56:05.000Z,TE,False,Trustpilot
,"My Revolut card meant that topping up the local currency as required could not be a simpler process.
It is a remarkably efficient way of managing funds and a budget when travelling.",,2026-03-19T11:00:22.000Z,JC,False,Trustpilot
,Very quick and efficient service with competitive exchange rates offered when transferring £s to €s.  Payments are made quickly and funds arrive promptly,,2026-03-19T11:45:19.000Z,IE,False,Trustpilot
,"This is the worst bank i have ever had, they’re literally chasing and harassing me and many other people i have talked to for every transaction as little as 50usd and even equivalent small transfers t... See more",,2026-03-20T10:16:40.000Z,MQ,False,Trustpilot
,"I am satisfied with Revolut. However:
Over the past two and a half weeks, I was in Germany arranging a funeral. Unfortunately, card payments were not accepted, so I had to withdraw cash. I was disa... See more",,2026-03-20T19:15:27.000Z,ZV,False,Trustpilot
,"Perfect app, very clear, with instant payments. Never had an issue or any kind of error. There’s nothing I can find that isn’t good.",,2026-03-20T08:28:20.000Z,CH,False,Trustpilot
,"Easy to use, no additional charges and able to use so many currencies 
Will need to migrate more cash into the account to cover",,2026-03-21T04:08:03.000Z,JK,False,Trustpilot
,"I’ve been using Revolut and it’s been great so far. The app is easy to use, fast and perfect for managing money, especially for regular use. Everything from payments to budgeting feels simple and conv... See more",,2026-03-20T03:09:34.000Z,IA,False,Trustpilot
,The main issue is transaction dispute due to continued issues with merchant delivery. I submitted a transaction dispute and was emailed saying it would take 3 days to receive an outcome. Day 2 Rev... See more,,2026-03-19T16:02:16.000Z,TA,False,Trustpilot
,"Think very carefully before opening an account with this lot. I started to save money with Revolut, for a holiday to south east Asia. To use the card abroad. With the conflict in the Middle East, my h... See more",,2026-03-19T11:34:15.000Z,SC,False,Trustpilot
,Very quick and easy and no delays in making the transfers - I used to use Wise but started to experience hours in making the transfer rather than the seconds they predicted,,2026-03-20T04:49:32.000Z,SB,False,Trustpilot
,"It’s so easy to use. Friendly environment. I send money to Mexico every month from the Netherlands and I trust you 100% on the fees, speed and currency! Sooooo happy to be part of Revolut.",,2026-03-20T22:37:32.000Z,AM,False,Trustpilot
,"Revolut is by far one of the worst banks I have ever dealt with.

I simply tried to transfer money from my Portuguese bank account to buy cryptocurrency and send it to my Binance account. We’r... See more",,2026-03-19T18:26:59.000Z,Fedor Kiselev,False,Trustpilot
,"Love this card spend  at home.e and on holidays, love that you can put money on it for holidays. I have recommended this card to loads of my friends they love ,love the app it's excellent.",,2026-03-20T05:55:11.000Z,MJ,False,Trustpilot
,"Revolut stands out for maintaining a reliable and well-managed transaction system, giving users confidence when handling payments and transfers. The platform is also consistently updated, and what mak... See more",,2026-03-20T20:34:48.000Z,OK,False,Trustpilot
,I love Revolut online accounts on thing I will like to review my online trading to be transfer on it and every time I have to activate something like put money,,2026-03-20T19:37:05.000Z,PP,False,Trustpilot
,"Revolut is very convenient , and gives a prompt service . This company is doing very well and is impeccabile .
Thank you !",,2026-03-20T10:03:21.000Z,IC,False,Trustpilot
,"Love Revolut.  I earn sterling but live in Ireland, so it’s a fantastic bank for currency exchange.  So easy to use.",,2026-03-20T19:54:27.000Z,RO,False,Trustpilot
,Easy to use no charge while i was away  abroard in Turkey at atm machine good confersion rate,,2026-03-20T20:07:07.000Z,RO,False,Trustpilot
,"Great banking app, includes other services and rewards as well that help a lot, especially for people living in a foreign country!!",,2026-03-20T19:49:08.000Z,CM,False,Trustpilot
,I am satisfied with the service of Revolut. I hope the fees are goning to be kept low in the future at least as much as it is now.,,2026-03-20T08:31:56.000Z,BA,False,Trustpilot
,"Very fast and professional team, smooth app and I have received an amazing offer for my house mortgage!",,2026-03-20T15:39:29.000Z,IJ,False,Trustpilot
,"I have been trying to delete a partially created Revolut account; they only have my e-mail, phone number, and name. Despite this, they have been sending me repeated emails for months, requesting more... See more",,2026-03-20T14:56:08.000Z,GL,False,Trustpilot
,"I got a worse account conditions since my account was transferred to Hungary.  I have to pay 0,5 percent transfer fees...",,2026-03-20T13:30:44.000Z,GK,False,Trustpilot
,"Best bank i can't wait to open a business account with Revolut 
Try it you will not be disappointed",,2026-03-20T19:41:09.000Z,AN,False,Trustpilot
,I've been using Revolut for about 2 1/2 years now. No complaints. Once they saved me from a semi-scam subscription service by automatically blocking the payment and then asking me whether to allow i... See more,,2026-03-20T05:18:45.000Z,JK,False,Trustpilot
,"Best Payments/ Financial/ Banking App I have ever used, Fast transit, great benefits for free version, Highly recommended for everyone, I hope this app get to the north African market. will make your... See more",,2026-03-19T19:36:44.000Z,MB,False,Trustpilot
,The card arrived  diligently. Account fees are reasonnable. Easy to use and to learn how to invest.,,2026-03-20T20:38:05.000Z,CA,False,Trustpilot
,Very user friendly all payments/purchases a click away.I will be availing of more of your services in the near future.,,2026-03-20T23:01:42.000Z,DA,False,Trustpilot
,"Easy to use, fast and reliable. Looking forward to upgrading my plan and getting even more benefits.",,2026-03-20T08:59:20.000Z,IV,False,Trustpilot
,Fourth day that i can't login into my account and i can't use my money. Revolut support continues to ask me sending them a video recording when trying to login. I tell them that i don't have a second... See more,,2026-03-20T18:21:25.000Z,MS,False,Trustpilot
,Feel confident when using card abroad and great that you give an immediate update of account status even checking that the user is the card owner after several purchases when tapping card.,,2026-03-20T19:40:32.000Z,MC,False,Trustpilot
,I have know worries using my card. And it's easy to explain to people how to keep a check on your balance and to add extra money,,2026-03-20T20:05:29.000Z,CW,False,Trustpilot
,It’s just a user friendly bank and the other pillar banks are now beginning to copy them.,,2026-03-20T20:31:29.000Z,AH,False,Trustpilot
,Simple and understandable communication in all areas. I feel safe and so does my money.,,2026-03-20T21:08:38.000Z,AJ,False,Trustpilot
,"Really happy with the service I am receiving.
Revolut seems to be the best Online account.",,2026-03-20T20:51:04.000Z,GS,False,Trustpilot
,I love the no and low fees for getting foreign currency and sending money abroad. Having this card is a game changer.,,2026-03-19T19:42:52.000Z,Jill Aisher,False,Trustpilot
,"I've never had a problem with anything including spending, saving and/or loans. My main worry is that I can't go into a branch if something does go wrong. Otherwise I would consider moving my business... See more",,2026-03-19T23:34:58.000Z,TM,False,Trustpilot
,Been using for over 3 years and its amazing especially sending money for my family overseas.,,2026-03-20T19:39:14.000Z,MV,False,Trustpilot
Everything is clear,"Everything is clear, fast, professional",,2026-03-26T20:27:09.000Z,VI,False,Trustpilot
Find it so good and easy to use and send money to different accounts age friendly for me especially,Very good easy to understand and use even if older sending money easy just a click and hone and arrived in seconds,,2026-03-26T20:27:01.000Z,MC,False,Trustpilot
Very user friendly,"Very user friendly, reliable and hassle free",,2026-03-26T20:23:54.000Z,AF,False,Trustpilot
Very convenient way of holding different currencies.,"The app is friendly, easy to navigate, works well, is clear to see all accounts. It's easy to add funds, exchange for other currencies, view all currencies on one screen. One thing to remember, do not convert currencies on Saturday or Sunday. I think for the standard service user, it would be more useful if funds could be removed via an ATM for a higher amount.",,2026-03-26T20:19:29.000Z,CH,False,Trustpilot
5/5 excellent,"5/5 – Revolut has completely changed how I manage my moneyI've been using Revolut as my primary everyday account for over a year now, and it's honestly one of the best fintech apps out there.The mobile app is incredibly intuitive and clean. Everything from instant notifications and real-time spending breakdowns to budgeting tools and savings vaults is seamlessly designed. I love being able to hold and exchange multiple currencies at competitive rates (especially on weekdays), which has saved me a fortune on trips abroad. Fee-free card spending overseas and fast international transfers are game-changers — I regularly send money to family in Europe with almost no fees and it arrives in seconds.",,2026-03-26T20:19:10.000Z,CM,False,Trustpilot
Super,"It's very convenient to pay by card—you can see the amount withdrawn right away. When I lost my card, the problem was resolved very quickly.",,2026-03-26T20:18:55.000Z,EZ,False,Trustpilot
Someone always listens to concerns,"Someone always listens to concerns, and then offers a solution to the situation.",,2026-03-26T20:17:53.000Z,SL,False,Trustpilot
Dream of a bank to use. Easy simple and fuss free.,"I've been using Revolut since 2018 and I could not be happier with them.From the ease of using it abroad commission free, exchanging currency to know exactly what I have instead of trying to convert it.The pockets and vaults function make it super simple to budget, I don't have to worry about bills being paid, just attach them to a pocket and transfer money when I get paid. All bills get paid on time and I don't have to work out when they come out.",,2026-03-26T20:16:25.000Z,WI,False,Trustpilot
Never let down,"I never had issues using the physical card and the app. They always worked well for me. Anf when I asked for help, I had immediate helpful replies when using chatting with the chatbot and also with an agent.",,2026-03-26T20:15:53.000Z,JG,False,Trustpilot
Very easy to use app,"Very easy to use app, low exchange fees and fast signup",,2026-03-26T20:15:51.000Z,Galen Han,False,Trustpilot
Great card,Great card to have for any currency. You can move money from one account to another with ease.,,2026-03-26T20:11:42.000Z,AS,False,Trustpilot
"Please,keep up the good work!!","I have had no issues with Revolut in the past,trustworthy,efficient and fast service with bank transfers,magnificent exchange rates and ample opportunities for investors.",,2026-03-26T20:08:32.000Z,JN,False,Trustpilot
It does the job without too much fuss,It does the job without too much fuss. It simply works.,,2026-03-26T20:04:52.000Z,CH,False,Trustpilot
Simple and easy to use,"Simple and easy to use, should have got a Revolut card long time ago",,2026-03-26T20:03:40.000Z,DA,False,Trustpilot
Exchanging pounds,I like that I can exchange pounds in euros or romanian money. What I don't like is that I cannot exchange anymore pounds in romanian money and send them in romanian accounts.,,2026-03-26T20:03:18.000Z,MI,False,Trustpilot
Money😉 end relax,I'm very happy for service 👍👍👍,,2026-03-26T20:03:13.000Z,TD,False,Trustpilot
,"Since I started using this card, I haven't had any problems. The start was a bit bumpy because the first card never arrived. But the second card came as promised. Transfers are straightforward, and i... See more",,2026-03-20T12:01:04.000Z,TH,False,Trustpilot
,I have experienced hackers.on free wifi even changing software giving.me.wierd bills to pay and revolut have uncomplicated my digital life and got.good.invest options not to get rich but to have revol... See more,,2026-03-20T17:44:05.000Z,BH,False,Trustpilot
,"I find revolut so easy to use and everything transaction is immediately available to see on the app
 I find it so handy when travelling as it saves me having to get different currencies each time I t... See more",,2026-03-20T20:14:10.000Z,ML,False,Trustpilot
,Fast money transfer processing enabling GBP to be moved to Euro accounts and then transferred to private Euro account in a couple of minutes.  When money is needed abroad quickly this has been extreme... See more,,2026-03-20T09:02:17.000Z,PE,False,Trustpilot
,"Easy sign up, almost instant availability, easy to add funds and prompt delivery of physical card. I’m using mine routinely and so far have no grounds to grumble.",,2026-03-20T19:43:02.000Z,GS,False,Trustpilot
,"Loving my new revolut card and app, I can see exactly what I spend, its easy to transfer money on to my app/ card/ phone
Revolut keeps me up to date with everything. 
Highly recommend especially if... See more",,2026-03-20T09:30:33.000Z,SA,False,Trustpilot
,I was astounded by how excellent this banking app is. Revolut boasts a modern design and is incredibly user-friendly. Everything operates swiftly and seamlessly. I highly recommend it to anyone seekin... See more,,2026-03-20T19:49:48.000Z,KH,False,Trustpilot
,I only use my Revolut Card while on holiday. I top it up before we go then watch the transactions every day so I always know just how much I have spent! Whether in the USA or Europe it’s been a godsen... See more,,2026-03-20T16:32:55.000Z,LM,False,Trustpilot
,"Sometimes there are errors paying or withdrawing money or adding money from PayPal to the Debit Card. Stimmt Service fees are low and not paying a penny per month. 

Very good experience and pricing... See more",,2026-03-20T02:02:48.000Z,EH,False,Trustpilot
,Revolut has made everyday banking feel simple and stress‑free for me. Very quick signup and onboarding.  Everyday use is smooth with instant notifications after every transaction.  Excellent for trave... See more,,2026-03-20T20:24:38.000Z,KA,False,Trustpilot
,"Foreign exchange facility is so great. Rates are always better than other banks and using it is seamless. This is on top of all the other benefits of Revolut, bill sharing, instant transfers etc",,2026-03-20T23:56:23.000Z,EJ,False,Trustpilot
,"Super easy to use, makes me feel safe,can use it anytime to send money to my kids or elsewhere when I don't feel like using other card! No secret charges, highly recommend!",,2026-03-20T20:08:19.000Z,ΚA,False,Trustpilot
,"I find it very convenient to send/receive payments between friends and relatives. I also like the savings funds in different currencies, the rates are attractive and it's so easy to transfer money. It... See more",,2026-03-20T18:21:38.000Z,JA,False,Trustpilot
,I have been. Rev customer for about 10 years and I think it’s a fabulous financial accessory. I love the fact that I can carry money in multiple currencies which helps greatly when I’m travelling to a... See more,,2026-03-18T21:24:51.000Z,GM,False,Trustpilot
,"I find the app so easy to use, text of what has been spend and the amount left in the account helps with budgeting finances therefore stops over spending.",,2026-03-20T18:22:47.000Z,AG,False,Trustpilot
,The App is easy to use I'm hoping nothing changes when the transfer to a bank is fully intact. This has better features than regular banks.,,2026-03-20T19:56:05.000Z,TE,False,Trustpilot
,"My Revolut card meant that topping up the local currency as required could not be a simpler process.
It is a remarkably efficient way of managing funds and a budget when travelling.",,2026-03-19T11:00:22.000Z,JC,False,Trustpilot
,Very quick and efficient service with competitive exchange rates offered when transferring £s to €s.  Payments are made quickly and funds arrive promptly,,2026-03-19T11:45:19.000Z,IE,False,Trustpilot
,"This is the worst bank i have ever had, they’re literally chasing and harassing me and many other people i have talked to for every transaction as little as 50usd and even equivalent small transfers t... See more",,2026-03-20T10:16:40.000Z,MQ,False,Trustpilot
,"I am satisfied with Revolut. However:
Over the past two and a half weeks, I was in Germany arranging a funeral. Unfortunately, card payments were not accepted, so I had to withdraw cash. I was disa... See more",,2026-03-20T19:15:27.000Z,ZV,False,Trustpilot
,"Perfect app, very clear, with instant payments. Never had an issue or any kind of error. There’s nothing I can find that isn’t good.",,2026-03-20T08:28:20.000Z,CH,False,Trustpilot
,"Easy to use, no additional charges and able to use so many currencies 
Will need to migrate more cash into the account to cover",,2026-03-21T04:08:03.000Z,JK,False,Trustpilot
,"I’ve been using Revolut and it’s been great so far. The app is easy to use, fast and perfect for managing money, especially for regular use. Everything from payments to budgeting feels simple and conv... See more",,2026-03-20T03:09:34.000Z,IA,False,Trustpilot
,The main issue is transaction dispute due to continued issues with merchant delivery. I submitted a transaction dispute and was emailed saying it would take 3 days to receive an outcome. Day 2 Rev... See more,,2026-03-19T16:02:16.000Z,TA,False,Trustpilot
,"Think very carefully before opening an account with this lot. I started to save money with Revolut, for a holiday to south east Asia. To use the card abroad. With the conflict in the Middle East, my h... See more",,2026-03-19T11:34:15.000Z,SC,False,Trustpilot
,Very quick and easy and no delays in making the transfers - I used to use Wise but started to experience hours in making the transfer rather than the seconds they predicted,,2026-03-20T04:49:32.000Z,SB,False,Trustpilot
,"It’s so easy to use. Friendly environment. I send money to Mexico every month from the Netherlands and I trust you 100% on the fees, speed and currency! Sooooo happy to be part of Revolut.",,2026-03-20T22:37:32.000Z,AM,False,Trustpilot
,"Revolut is by far one of the worst banks I have ever dealt with.

I simply tried to transfer money from my Portuguese bank account to buy cryptocurrency and send it to my Binance account. We’r... See more",,2026-03-19T18:26:59.000Z,Fedor Kiselev,False,Trustpilot
,"Love this card spend  at home.e and on holidays, love that you can put money on it for holidays. I have recommended this card to loads of my friends they love ,love the app it's excellent.",,2026-03-20T05:55:11.000Z,MJ,False,Trustpilot
,"Revolut stands out for maintaining a reliable and well-managed transaction system, giving users confidence when handling payments and transfers. The platform is also consistently updated, and what mak... See more",,2026-03-20T20:34:48.000Z,OK,False,Trustpilot
,I love Revolut online accounts on thing I will like to review my online trading to be transfer on it and every time I have to activate something like put money,,2026-03-20T19:37:05.000Z,PP,False,Trustpilot
,"Revolut is very convenient , and gives a prompt service . This company is doing very well and is impeccabile .
Thank you !",,2026-03-20T10:03:21.000Z,IC,False,Trustpilot
,"Love Revolut.  I earn sterling but live in Ireland, so it’s a fantastic bank for currency exchange.  So easy to use.",,2026-03-20T19:54:27.000Z,RO,False,Trustpilot
,Easy to use no charge while i was away  abroard in Turkey at atm machine good confersion rate,,2026-03-20T20:07:07.000Z,RO,False,Trustpilot
,"Great banking app, includes other services and rewards as well that help a lot, especially for people living in a foreign country!!",,2026-03-20T19:49:08.000Z,CM,False,Trustpilot
,I am satisfied with the service of Revolut. I hope the fees are goning to be kept low in the future at least as much as it is now.,,2026-03-20T08:31:56.000Z,BA,False,Trustpilot
,"Very fast and professional team, smooth app and I have received an amazing offer for my house mortgage!",,2026-03-20T15:39:29.000Z,IJ,False,Trustpilot
